x_m,y_m,w_tr_right_m,w_tr_left_m
89629.85076168164,43152.54838578526,3.871582338715304,3.710513171743632
89630.38329550177,43151.70110893221,3.7244977538741058,3.826401940374913
89630.87620361497,43150.83185835957,3.797098848852511,3.500334750213448
89631.32850113684,43149.93991946318,3.6057865135197353,3.49021297948858
89631.75325303298,43149.0324300315,3.5910044683146087,3.5681014977880867
89632.16400129501,43148.11679446057,3.3797962699118633,3.61057645551952
89632.57428791453,43147.20041714641,3.2419189952918006,3.919457442942846
89632.99765488315,43146.29070248501,3.158857361113393,3.7371266790636235
89633.44764297926,43145.39505424946,3.0293806539158044,3.7196866474550037
89633.93357276738,43144.51870920173,2.8943367935124638,3.9232912415864805
89634.45109307201,43143.65988388814,3.00695313644925,3.7190737132273255
89634.99308914473,43142.81537580535,3.09433891372846,3.7513531978967607
89635.5524462371,43141.98198245001,3.005322406896628,3.8160189228435484
89636.12204960061,43141.15650131875,3.070861895044434,3.716233407386541
89636.69478013998,43140.33572455636,3.0251932257910714,3.6376412238164524
89637.25922841218,43139.511162111296,3.2571445836988935,3.5474204319513754
89637.79165718998,43138.65914619275,3.070984929678247,3.5529026181533276
89638.2831221061,43137.76922240536,3.0430463067413225,3.6786733309811472
89638.81350089857,43136.91416187867,2.9588738875443537,3.984443058893794
89639.49072321171,43136.19340713635,2.9647537314407217,4.173463210605601
89640.35217760742,43135.67161513933,3.0986012097104223,4.256157080744136
89641.3162130607,43135.355283976285,3.178126973476336,4.282596268399941
89642.31443462253,43135.26343508123,3.2778274262954423,4.241598483297634
89643.30015255242,43135.41084108797,3.3873915897252544,4.102743073884225
89644.25760153757,43135.73681061176,3.464626621026248,4.025834464556582
89645.1800720868,43136.15937699353,3.550607680932047,3.960853677008935
89646.05086288917,43136.65643179507,3.5022926224306166,3.9924546912153276
89646.84102247421,43137.27924429615,3.458678911460257,4.011906201943769
89647.50470097178,43138.07076640599,3.386250738311866,4.073983092306997
89647.89886595456,43138.99690139055,3.368420507919835,3.957306366026068
89647.92947836318,43139.99429860812,3.520517792079895,3.6467255057292713
89647.95137305625,43141.00260139103,3.553162919889388,3.490754816011479
89647.8793953753,43141.98945727783,3.4519356527860725,3.4827763774251728
89647.58147798816,43142.940849643535,3.353235445132429,3.32165014686523
89647.13747462626,43143.85936874688,3.1847932493941324,3.243183388584202
89646.64200534584,43144.74920793696,3.0701863103743383,3.215412653484145
89646.13747973306,43145.61720835132,3.1284268254701773,3.4244536113847452
89645.62585073111,43146.47226283533,3.1207148593833605,3.717885623085444
89645.10800215795,43147.32323769418,3.193584970897123,4.104614404085996
89644.58412623349,43148.174745153534,3.105339689730841,3.662960936514228
89644.05339183331,43149.02510275953,3.2540955344568725,3.455447122346718
89643.51488525185,43149.87212009477,3.1330022886426927,3.523762719859884
89642.96769278358,43150.71360674182,3.334920119927156,3.7855384252426116
89642.41068149038,43151.54743759964,3.2597273367155193,3.4609532957574713
89641.84143863835,43152.37186885902,3.408945777870871,3.39591033209646
89641.25711934634,43153.185316169234,3.2148664875487114,3.536986132281532
89640.6599101121,43153.9896917058,3.340333505643461,3.2490837416593052
89640.06255438205,43154.79424280466,3.3087279788166493,3.2573508855369195
89639.47910890167,43155.6091254585,3.4950254548875943,3.3609447820454474
89638.92050541444,43156.4416053663,3.465885247827225,3.0538729013022605
89638.39089918276,43157.29268070428,3.4359310296443653,3.0942874723728844
89637.89347548314,43158.1624900192,3.3292803519615237,3.4721937566081693
89637.42431864295,43159.04782516231,3.3184858515519764,3.7271248480042396
89636.96705937333,43159.93960856375,3.2702321276949653,3.376739396437988
89636.50406807395,43160.82816866563,3.0310457939730107,3.2982750847738247
89636.02118005848,43161.70576698868,3.1344509176972504,3.4946331313866055
89635.52352000211,43162.57542660589,2.9023982431519277,3.519949468018838
89635.02285016807,43163.44387194243,2.9738463658719616,3.4517389842984607
89634.52392999729,43164.313572914994,2.797357196261973,3.669331249463673
89634.01613378136,43165.17765301681,2.8167946126039705,4.018976870083808
89633.4867928174,43166.02799462927,3.192370466877963,3.6552013509963888
89632.92639742723,43166.85850596248,3.0395810659143643,3.509339833370064
89632.35833880838,43167.68419399756,2.757760578998722,3.6352644093156954
89631.82477903987,43168.53209754889,2.5841314883024804,3.547715218181913
89631.33071717159,43169.40515091727,2.4199855005299082,3.6215967961144107
89630.82772745362,43170.27163895325,2.374866991882645,3.6187900641149726
89630.26636244763,43171.09915151522,2.286599638366992,3.671591421016568
89629.64371292849,43171.88497218704,2.437000039931585,3.5306528422545185
89628.99293626775,43172.64939586806,2.680014439471426,3.360948261575131
89628.32447827804,43173.39561033541,2.9147502233967435,3.3275564430833846
89627.57429676109,43174.061030068304,2.720353592819849,3.3050884403092673
89626.68284927981,43174.515427913415,2.3298373521183686,3.0767198793674515
89625.69917650988,43174.74157214306,2.016378657438974,2.799326108954306
89624.70405058288,43174.896934214856,2.055003393711805,2.5963512209933834
89623.76818057965,43175.20633413796,2.115133039760732,2.7006749343694803
89622.90050463045,43175.71333141329,2.1621807413675973,3.087783011544022
89622.02476742378,43176.20796138951,2.3440461606001874,3.3657180990625455
89621.16483100918,43176.72690514567,2.7145928822642746,3.6085821987301783
89620.51109488691,43177.49907429976,2.902131495747262,4.078283055882983
89620.28265271774,43178.46276131772,2.787261615590405,4.571879866956694
89620.14305395052,43179.46546768407,2.842919730706533,4.615620586806021
89619.91061198017,43180.44066714247,3.0645934663640775,4.639377111542834
89619.79691320923,43181.426119029216,3.340338737824483,4.716729049883884
89619.86029636698,43182.43180139727,3.5341260687234075,4.680897670696654
89620.0323723843,43183.43851338288,3.865665769026757,4.319885306659202
89620.33153734068,43184.4033021131,4.09832625336066,3.821716362454512
89620.8187235049,43185.27241677756,4.354575721625322,3.3823135219454428
89621.51252213812,43185.997122325774,4.515569326659755,3.454631240134271
